index,pid,agg_cluster,x,y,cluster_7,conversation_id,construct,construct_bipolar,survey_id,survey_name,survey_endTime,pole_a,pole_b
5,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,499,3.1868002,5.1116934,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Butter cream cake,Sweet and comforting,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Butter cream cake,Sweet and comforting
5,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,499,3.1868002,5.1116934,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Sashimi,Minimalist,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Sashimi,Minimalist
5,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,499,3.1868002,5.1116934,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Saka Saka,Time-consuming,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Saka Saka,Time-consuming
5,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,499,3.1868002,5.1116934,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Steak haché with fries,Everyday simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Steak haché with fries,Everyday simple
5,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,499,3.1868002,5.1116934,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Colombo chicken,Culturally rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Colombo chicken,Culturally rich
6,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,340,3.470871,2.022636,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Instant soups,Instant food,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Instant soups,Instant food
6,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,340,3.470871,2.022636,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Acras of cod,Quick to prepare,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Acras of cod,Quick to prepare
6,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,340,3.470871,2.022636,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Butter cream cake,Sweet and comforting,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Butter cream cake,Sweet and comforting
6,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,340,3.470871,2.022636,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Sashimi,Minimalist,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Sashimi,Minimalist
6,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,340,3.470871,2.022636,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Saka Saka,Time-consuming,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Saka Saka,Time-consuming
6,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,340,3.470871,2.022636,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Steak haché with fries,Everyday simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Steak haché with fries,Everyday simple
6,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,340,3.470871,2.022636,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Colombo chicken,Culturally rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Colombo chicken,Culturally rich
7,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,567,4.6170683,2.4867907,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Instant soups,Instant food,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Instant soups,Instant food
7,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,567,4.6170683,2.4867907,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Acras of cod,Quick to prepare,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Acras of cod,Quick to prepare
7,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,567,4.6170683,2.4867907,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Butter cream cake,Sweet and comforting,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Butter cream cake,Sweet and comforting
7,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,567,4.6170683,2.4867907,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Sashimi,Minimalist,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Sashimi,Minimalist
7,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,567,4.6170683,2.4867907,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Saka Saka,Time-consuming,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Saka Saka,Time-consuming
7,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,567,4.6170683,2.4867907,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Steak haché with fries,Everyday simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Steak haché with fries,Everyday simple
7,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,567,4.6170683,2.4867907,2,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Colombo chicken,Culturally rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Colombo chicken,Culturally rich
8,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,493,6.2067566,5.1786757,1,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Instant soups,Instant food,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Instant soups,Instant food
8,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,493,6.2067566,5.1786757,1,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Acras of cod,Quick to prepare,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Acras of cod,Quick to prepare
8,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,493,6.2067566,5.1786757,1,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Butter cream cake,Sweet and comforting,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Butter cream cake,Sweet and comforting
8,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,493,6.2067566,5.1786757,1,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Sashimi,Minimalist,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Sashimi,Minimalist
8,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,493,6.2067566,5.1786757,1,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Saka Saka,Time-consuming,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Saka Saka,Time-consuming
8,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,493,6.2067566,5.1786757,1,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Steak haché with fries,Everyday simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Steak haché with fries,Everyday simple
8,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,493,6.2067566,5.1786757,1,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Colombo chicken,Culturally rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Colombo chicken,Culturally rich
9,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,400,3.1302173,4.165436,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Instant soups,Instant food,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Instant soups,Instant food
9,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,400,3.1302173,4.165436,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Acras of cod,Quick to prepare,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Acras of cod,Quick to prepare
9,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,400,3.1302173,4.165436,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Butter cream cake,Sweet and comforting,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Butter cream cake,Sweet and comforting
9,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,400,3.1302173,4.165436,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Sashimi,Minimalist,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Sashimi,Minimalist
9,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,400,3.1302173,4.165436,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Saka Saka,Time-consuming,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Saka Saka,Time-consuming
9,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,400,3.1302173,4.165436,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Steak haché with fries,Everyday simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Steak haché with fries,Everyday simple
9,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,400,3.1302173,4.165436,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Colombo chicken,Culturally rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Colombo chicken,Culturally rich
10,0825F956-71A0-407A-A84C-41CFB219A506,24,3.0484493,4.1981106,4,0825F956-71A0-407A-A84C-41CFB219A506,not Baked Salmon,not rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.309299+00:00,not Baked Salmon,not rich
10,0825F956-71A0-407A-A84C-41CFB219A506,24,3.0484493,4.1981106,4,0825F956-71A0-407A-A84C-41CFB219A506,Baked Salmon,rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.309299+00:00,Baked Salmon,rich
11,0825F956-71A0-407A-A84C-41CFB219A506,24,3.0764463,4.2267756,4,0825F956-71A0-407A-A84C-41CFB219A506,not Baked Salmon,not rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.309299+00:00,not Baked Salmon,not rich
11,0825F956-71A0-407A-A84C-41CFB219A506,24,3.0764463,4.2267756,4,0825F956-71A0-407A-A84C-41CFB219A506,Baked Salmon,rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.309299+00:00,Baked Salmon,rich
12,0C8F0DBD-E231-45D7-9644-ED758EE82757,610,3.5646675,1.8801649,2,0C8F0DBD-E231-45D7-9644-ED758EE82757,Time-Intensive,Quick Preparation,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Time-Intensive,Quick Preparation
12,0C8F0DBD-E231-45D7-9644-ED758EE82757,610,3.5646675,1.8801649,2,0C8F0DBD-E231-45D7-9644-ED758EE82757,Everyday,Special Occasion,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Everyday,Special Occasion
12,0C8F0DBD-E231-45D7-9644-ED758EE82757,610,3.5646675,1.8801649,2,0C8F0DBD-E231-45D7-9644-ED758EE82757,Savory,Sweet,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Savory,Sweet
12,0C8F0DBD-E231-45D7-9644-ED758EE82757,610,3.5646675,1.8801649,2,0C8F0DBD-E231-45D7-9644-ED758EE82757,Hearty,Refreshing,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Hearty,Refreshing
12,0C8F0DBD-E231-45D7-9644-ED758EE82757,610,3.5646675,1.8801649,2,0C8F0DBD-E231-45D7-9644-ED758EE82757,Indulgent,Light,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Indulgent,Light
12,0C8F0DBD-E231-45D7-9644-ED758EE82757,610,3.5646675,1.8801649,2,0C8F0DBD-E231-45D7-9644-ED758EE82757,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Complex,Simple
13,0C8F0DBD-E231-45D7-9644-ED758EE82757,31,5.7311807,4.4146214,1,0C8F0DBD-E231-45D7-9644-ED758EE82757,Time-Intensive,Quick Preparation,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Time-Intensive,Quick Preparation
13,0C8F0DBD-E231-45D7-9644-ED758EE82757,31,5.7311807,4.4146214,1,0C8F0DBD-E231-45D7-9644-ED758EE82757,Everyday,Special Occasion,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Everyday,Special Occasion
13,0C8F0DBD-E231-45D7-9644-ED758EE82757,31,5.7311807,4.4146214,1,0C8F0DBD-E231-45D7-9644-ED758EE82757,Savory,Sweet,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Savory,Sweet
13,0C8F0DBD-E231-45D7-9644-ED758EE82757,31,5.7311807,4.4146214,1,0C8F0DBD-E231-45D7-9644-ED758EE82757,Hearty,Refreshing,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Hearty,Refreshing
13,0C8F0DBD-E231-45D7-9644-ED758EE82757,31,5.7311807,4.4146214,1,0C8F0DBD-E231-45D7-9644-ED758EE82757,Indulgent,Light,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Indulgent,Light
13,0C8F0DBD-E231-45D7-9644-ED758EE82757,31,5.7311807,4.4146214,1,0C8F0DBD-E231-45D7-9644-ED758EE82757,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Complex,Simple
14,0C8F0DBD-E231-45D7-9644-ED758EE82757,19,5.447994,3.1259081,6,0C8F0DBD-E231-45D7-9644-ED758EE82757,Time-Intensive,Quick Preparation,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Time-Intensive,Quick Preparation
14,0C8F0DBD-E231-45D7-9644-ED758EE82757,19,5.447994,3.1259081,6,0C8F0DBD-E231-45D7-9644-ED758EE82757,Everyday,Special Occasion,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Everyday,Special Occasion
14,0C8F0DBD-E231-45D7-9644-ED758EE82757,19,5.447994,3.1259081,6,0C8F0DBD-E231-45D7-9644-ED758EE82757,Savory,Sweet,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Savory,Sweet
14,0C8F0DBD-E231-45D7-9644-ED758EE82757,19,5.447994,3.1259081,6,0C8F0DBD-E231-45D7-9644-ED758EE82757,Hearty,Refreshing,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Hearty,Refreshing
14,0C8F0DBD-E231-45D7-9644-ED758EE82757,19,5.447994,3.1259081,6,0C8F0DBD-E231-45D7-9644-ED758EE82757,Indulgent,Light,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Indulgent,Light
14,0C8F0DBD-E231-45D7-9644-ED758EE82757,19,5.447994,3.1259081,6,0C8F0DBD-E231-45D7-9644-ED758EE82757,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Complex,Simple
15,0C8F0DBD-E231-45D7-9644-ED758EE82757,661,2.2783587,3.510366,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Time-Intensive,Quick Preparation,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Time-Intensive,Quick Preparation
15,0C8F0DBD-E231-45D7-9644-ED758EE82757,661,2.2783587,3.510366,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Everyday,Special Occasion,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Everyday,Special Occasion
15,0C8F0DBD-E231-45D7-9644-ED758EE82757,661,2.2783587,3.510366,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Savory,Sweet,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Savory,Sweet
15,0C8F0DBD-E231-45D7-9644-ED758EE82757,661,2.2783587,3.510366,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Hearty,Refreshing,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Hearty,Refreshing
15,0C8F0DBD-E231-45D7-9644-ED758EE82757,661,2.2783587,3.510366,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Indulgent,Light,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Indulgent,Light
15,0C8F0DBD-E231-45D7-9644-ED758EE82757,661,2.2783587,3.510366,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Complex,Simple
16,0C8F0DBD-E231-45D7-9644-ED758EE82757,76,1.5507894,3.035139,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Time-Intensive,Quick Preparation,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Time-Intensive,Quick Preparation
16,0C8F0DBD-E231-45D7-9644-ED758EE82757,76,1.5507894,3.035139,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Everyday,Special Occasion,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Everyday,Special Occasion
16,0C8F0DBD-E231-45D7-9644-ED758EE82757,76,1.5507894,3.035139,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Savory,Sweet,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Savory,Sweet
16,0C8F0DBD-E231-45D7-9644-ED758EE82757,76,1.5507894,3.035139,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Hearty,Refreshing,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Hearty,Refreshing
16,0C8F0DBD-E231-45D7-9644-ED758EE82757,76,1.5507894,3.035139,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Indulgent,Light,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Indulgent,Light
16,0C8F0DBD-E231-45D7-9644-ED758EE82757,76,1.5507894,3.035139,4,0C8F0DBD-E231-45D7-9644-ED758EE82757,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00,Complex,Simple
17,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,595,4.247743,4.0308523,6,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,Purpose (Meal Focal Point),Meal Complement,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.517426+00:00,Purpose (Meal Focal Point),Meal Complement
17,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,595,4.247743,4.0308523,6,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,Flavor Profile (Savory),Sweet,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.517426+00:00,Flavor Profile (Savory),Sweet
17,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,595,4.247743,4.0308523,6,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,Course of the Meal (Main Course),Dessert,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.517426+00:00,Course of the Meal (Main Course),Dessert
17,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,595,4.247743,4.0308523,6,102FE9AB-B6BB-4037-8C15-D65D5A8141B1,Serving Style (Standalone),Accompanied by Sambar and Chutney,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.517426+00:00,Serving Style (Standalone),Accompanied by Sambar and Chutney
