Row_ID,User_ID,Survey_ID,Survey_Name,Pole_A,Pole_B,Cluster,Coordinate_X,Coordinate_Y,Conversation_Index,Bipolar_Construct,Cluster_Size
13,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Shape Cookies,not Shape Cookies,0,8.23688,6.8998756,328,Shape Cookies vs not Shape Cookies,1130
14,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Blend in Dry Ingredients,not Blend in Dry Ingredients,0,8.23688,6.8998756,328,Blend in Dry Ingredients vs not Blend in Dry Ingredients,1130
15,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Add Egg and Vanilla,not Add Egg and Vanilla,0,8.23688,6.8998756,328,Add Egg and Vanilla vs not Add Egg and Vanilla,1130
16,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Cream Butter and Sugar,not Cream Butter and Sugar,0,8.23688,6.8998756,328,Cream Butter and Sugar vs not Cream Butter and Sugar,1130
17,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Mix Dry Ingredients,not Mix Dry Ingredients,0,8.23688,6.8998756,328,Mix Dry Ingredients vs not Mix Dry Ingredients,1130
18,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Preheat the Oven,not Preheat the Oven,0,8.23688,6.8998756,328,Preheat the Oven vs not Preheat the Oven,1130
19,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Shape Cookies,not Shape Cookies,0,8.253855,6.9486694,328,Shape Cookies vs not Shape Cookies,1130
20,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Blend in Dry Ingredients,not Blend in Dry Ingredients,0,8.253855,6.9486694,328,Blend in Dry Ingredients vs not Blend in Dry Ingredients,1130
21,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Add Egg and Vanilla,not Add Egg and Vanilla,0,8.253855,6.9486694,328,Add Egg and Vanilla vs not Add Egg and Vanilla,1130
22,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Cream Butter and Sugar,not Cream Butter and Sugar,0,8.253855,6.9486694,328,Cream Butter and Sugar vs not Cream Butter and Sugar,1130
23,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Mix Dry Ingredients,not Mix Dry Ingredients,0,8.253855,6.9486694,328,Mix Dry Ingredients vs not Mix Dry Ingredients,1130
24,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Preheat the Oven,not Preheat the Oven,0,8.253855,6.9486694,328,Preheat the Oven vs not Preheat the Oven,1130
25,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Shape Cookies,not Shape Cookies,0,8.309413,6.9596953,328,Shape Cookies vs not Shape Cookies,1130
26,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Blend in Dry Ingredients,not Blend in Dry Ingredients,0,8.309413,6.9596953,328,Blend in Dry Ingredients vs not Blend in Dry Ingredients,1130
27,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Add Egg and Vanilla,not Add Egg and Vanilla,0,8.309413,6.9596953,328,Add Egg and Vanilla vs not Add Egg and Vanilla,1130
28,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Cream Butter and Sugar,not Cream Butter and Sugar,0,8.309413,6.9596953,328,Cream Butter and Sugar vs not Cream Butter and Sugar,1130
29,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Mix Dry Ingredients,not Mix Dry Ingredients,0,8.309413,6.9596953,328,Mix Dry Ingredients vs not Mix Dry Ingredients,1130
30,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Preheat the Oven,not Preheat the Oven,0,8.309413,6.9596953,328,Preheat the Oven vs not Preheat the Oven,1130
31,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Grilled Bakso Skewers,not Grilled Bakso Skewers,0,8.496254,6.969169,265,Grilled Bakso Skewers vs not Grilled Bakso Skewers,1130
32,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Fried Bakso Balls,not Fried Bakso Balls,0,8.496254,6.969169,265,Fried Bakso Balls vs not Fried Bakso Balls,1130
33,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Bakso with Tofu and Vegetables,not Bakso with Tofu and Vegetables,0,8.496254,6.969169,265,Bakso with Tofu and Vegetables vs not Bakso with Tofu and Vegetables,1130
34,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Bakso in Sweet Soy Sauce,not Bakso in Sweet Soy Sauce,0,8.496254,6.969169,265,Bakso in Sweet Soy Sauce vs not Bakso in Sweet Soy Sauce,1130
35,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Spicy Bakso Soup,not Spicy Bakso Soup,0,8.496254,6.969169,265,Spicy Bakso Soup vs not Spicy Bakso Soup,1130
36,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Bakso with Noodles,not Bakso with Noodles,0,8.496254,6.969169,265,Bakso with Noodles vs not Bakso with Noodles,1130
37,687FDB5D-4BA3-4FDB-BC8B-72BC32488585,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Protein Type,Non-protein,0,8.507381,6.714549,138,Protein Type vs Non-protein,1130
38,687FDB5D-4BA3-4FDB-BC8B-72BC32488585,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Grain Type,Non-grain,0,8.507381,6.714549,138,Grain Type vs Non-grain,1130
39,687FDB5D-4BA3-4FDB-BC8B-72BC32488585,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Macronutrient Type,Micronutrient,0,8.507381,6.714549,138,Macronutrient Type vs Micronutrient,1130
40,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Greek Yogurt Parfait with Berries and Nuts,not Greek Yogurt Parfait with Berries and Nuts,0,8.548533,6.919669,155,Greek Yogurt Parfait with Berries and Nuts vs not Greek Yogurt Parfait with Berries and Nuts,1130
41,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Stuffed Bell Peppers with Brown Rice and Black Beans,not Stuffed Bell Peppers with Brown Rice and Black Beans,0,8.548533,6.919669,155,Stuffed Bell Peppers with Brown Rice and Black Beans vs not Stuffed Bell Peppers with Brown Rice and Black Beans,1130
42,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Zucchini Noodles with Pesto Sauce,not Zucchini Noodles with Pesto Sauce,0,8.548533,6.919669,155,Zucchini Noodles with Pesto Sauce vs not Zucchini Noodles with Pesto Sauce,1130
43,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Grilled Salmon with Asparagus,not Grilled Salmon with Asparagus,0,8.548533,6.919669,155,Grilled Salmon with Asparagus vs not Grilled Salmon with Asparagus,1130
44,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Quinoa Salad with Chickpeas and Avocado,not Quinoa Salad with Chickpeas and Avocado,0,8.548533,6.919669,155,Quinoa Salad with Chickpeas and Avocado vs not Quinoa Salad with Chickpeas and Avocado,1130
45,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Shape Cookies,not Shape Cookies,0,8.549003,6.9387145,328,Shape Cookies vs not Shape Cookies,1130
46,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Blend in Dry Ingredients,not Blend in Dry Ingredients,0,8.549003,6.9387145,328,Blend in Dry Ingredients vs not Blend in Dry Ingredients,1130
47,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Add Egg and Vanilla,not Add Egg and Vanilla,0,8.549003,6.9387145,328,Add Egg and Vanilla vs not Add Egg and Vanilla,1130
48,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Cream Butter and Sugar,not Cream Butter and Sugar,0,8.549003,6.9387145,328,Cream Butter and Sugar vs not Cream Butter and Sugar,1130
49,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Mix Dry Ingredients,not Mix Dry Ingredients,0,8.549003,6.9387145,328,Mix Dry Ingredients vs not Mix Dry Ingredients,1130
50,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Preheat the Oven,not Preheat the Oven,0,8.549003,6.9387145,328,Preheat the Oven vs not Preheat the Oven,1130
51,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Greek Yogurt Parfait with Berries and Nuts,not Greek Yogurt Parfait with Berries and Nuts,0,8.573245,6.914573,155,Greek Yogurt Parfait with Berries and Nuts vs not Greek Yogurt Parfait with Berries and Nuts,1130
52,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Stuffed Bell Peppers with Brown Rice and Black Beans,not Stuffed Bell Peppers with Brown Rice and Black Beans,0,8.573245,6.914573,155,Stuffed Bell Peppers with Brown Rice and Black Beans vs not Stuffed Bell Peppers with Brown Rice and Black Beans,1130
53,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Zucchini Noodles with Pesto Sauce,not Zucchini Noodles with Pesto Sauce,0,8.573245,6.914573,155,Zucchini Noodles with Pesto Sauce vs not Zucchini Noodles with Pesto Sauce,1130
54,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Grilled Salmon with Asparagus,not Grilled Salmon with Asparagus,0,8.573245,6.914573,155,Grilled Salmon with Asparagus vs not Grilled Salmon with Asparagus,1130
55,7473FC1C-37D3-4E0F-B081-11C7F3422CE7,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Quinoa Salad with Chickpeas and Avocado,not Quinoa Salad with Chickpeas and Avocado,0,8.573245,6.914573,155,Quinoa Salad with Chickpeas and Avocado vs not Quinoa Salad with Chickpeas and Avocado,1130
56,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,French fries,not French fries,0,8.609118,7.0162134,131,French fries vs not French fries,1130
57,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Stewed beef with ugali,not Stewed beef with ugali,0,8.609118,7.0162134,131,Stewed beef with ugali vs not Stewed beef with ugali,1130
58,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Roasted chicken,not Roasted chicken,0,8.609118,7.0162134,131,Roasted chicken vs not Roasted chicken,1130
59,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Rice with stewed peas,not Rice with stewed peas,0,8.609118,7.0162134,131,Rice with stewed peas vs not Rice with stewed peas,1130
60,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Rice with stewed beef,not Rice with stewed beef,0,8.609118,7.0162134,131,Rice with stewed beef vs not Rice with stewed beef,1130
61,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Fried chicken,not Fried chicken,0,8.609118,7.0162134,131,Fried chicken vs not Fried chicken,1130
62,B0493AF6-0138-49FD-98CD-03B5CE527BFF,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Festive,Everyday,0,8.627911,6.2844267,238,Festive vs Everyday,1130
63,B0493AF6-0138-49FD-98CD-03B5CE527BFF,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Simple Preparation,not Simple Preparation,0,8.627911,6.2844267,238,Simple Preparation vs not Simple Preparation,1130
64,B0493AF6-0138-49FD-98CD-03B5CE527BFF,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Sweet,not Sweet,0,8.627911,6.2844267,238,Sweet vs not Sweet,1130
65,B0493AF6-0138-49FD-98CD-03B5CE527BFF,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Fried,not Fried,0,8.627911,6.2844267,238,Fried vs not Fried,1130
66,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Grilled Bakso Skewers,not Grilled Bakso Skewers,0,8.628237,7.046871,265,Grilled Bakso Skewers vs not Grilled Bakso Skewers,1130
67,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Fried Bakso Balls,not Fried Bakso Balls,0,8.628237,7.046871,265,Fried Bakso Balls vs not Fried Bakso Balls,1130
68,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Bakso with Tofu and Vegetables,not Bakso with Tofu and Vegetables,0,8.628237,7.046871,265,Bakso with Tofu and Vegetables vs not Bakso with Tofu and Vegetables,1130
69,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Bakso in Sweet Soy Sauce,not Bakso in Sweet Soy Sauce,0,8.628237,7.046871,265,Bakso in Sweet Soy Sauce vs not Bakso in Sweet Soy Sauce,1130
70,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Spicy Bakso Soup,not Spicy Bakso Soup,0,8.628237,7.046871,265,Spicy Bakso Soup vs not Spicy Bakso Soup,1130
71,BE6A0437-33FB-4E05-A6BC-19EF8340BF38,a216d763-71dd-4509-a694-d68cb28de496,Praise,Bakso with Noodles,not Bakso with Noodles,0,8.628237,7.046871,265,Bakso with Noodles vs not Bakso with Noodles,1130
72,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,French fries,not French fries,0,8.643349,7.074122,131,French fries vs not French fries,1130
73,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Stewed beef with ugali,not Stewed beef with ugali,0,8.643349,7.074122,131,Stewed beef with ugali vs not Stewed beef with ugali,1130
74,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Roasted chicken,not Roasted chicken,0,8.643349,7.074122,131,Roasted chicken vs not Roasted chicken,1130
75,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Rice with stewed peas,not Rice with stewed peas,0,8.643349,7.074122,131,Rice with stewed peas vs not Rice with stewed peas,1130
76,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Rice with stewed beef,not Rice with stewed beef,0,8.643349,7.074122,131,Rice with stewed beef vs not Rice with stewed beef,1130
77,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Fried chicken,not Fried chicken,0,8.643349,7.074122,131,Fried chicken vs not Fried chicken,1130
78,BB3086DF-9C6B-40AA-A5B6-440E20BAE3D3,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Pizza Margherita,not Pizza Margherita,0,8.673319,7.005672,254,Pizza Margherita vs not Pizza Margherita,1130
79,BB3086DF-9C6B-40AA-A5B6-440E20BAE3D3,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,The Ultimate Hamburger,not The Ultimate Hamburger,0,8.673319,7.005672,254,The Ultimate Hamburger vs not The Ultimate Hamburger,1130
80,BB3086DF-9C6B-40AA-A5B6-440E20BAE3D3,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Ground Beef Tacos,not Ground Beef Tacos,0,8.673319,7.005672,254,Ground Beef Tacos vs not Ground Beef Tacos,1130
81,BB3086DF-9C6B-40AA-A5B6-440E20BAE3D3,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Baked Eggs with Bacon and Spinach,not Baked Eggs with Bacon and Spinach,0,8.673319,7.005672,254,Baked Eggs with Bacon and Spinach vs not Baked Eggs with Bacon and Spinach,1130
82,BB3086DF-9C6B-40AA-A5B6-440E20BAE3D3,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Simple Fried Rice,not Simple Fried Rice,0,8.673319,7.005672,254,Simple Fried Rice vs not Simple Fried Rice,1130
83,1F6F38C6-5A0D-4FCF-B0D6-F3ED655BCE16,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Meal Coordination,not Meal Coordination,0,8.680869,6.082067,35,Meal Coordination vs not Meal Coordination,1130
84,1F6F38C6-5A0D-4FCF-B0D6-F3ED655BCE16,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Primary Ingredient,not Primary Ingredient,0,8.680869,6.082067,35,Primary Ingredient vs not Primary Ingredient,1130
85,1F6F38C6-5A0D-4FCF-B0D6-F3ED655BCE16,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Ingredient Complexity,not Ingredient Complexity,0,8.680869,6.082067,35,Ingredient Complexity vs not Ingredient Complexity,1130
86,1F6F38C6-5A0D-4FCF-B0D6-F3ED655BCE16,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Cooking Method,not Cooking Method,0,8.680869,6.082067,35,Cooking Method vs not Cooking Method,1130
87,1F6F38C6-5A0D-4FCF-B0D6-F3ED655BCE16,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Preparation Time,not Preparation Time,0,8.680869,6.082067,35,Preparation Time vs not Preparation Time,1130
88,D601BBE3-B482-4A39-8F1F-ED365CCA9749,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Ease of Preparation,not Ease of Preparation,0,8.697126,6.0381923,299,Ease of Preparation vs not Ease of Preparation,1130
89,D601BBE3-B482-4A39-8F1F-ED365CCA9749,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Preparation Complexity,not Preparation Complexity,0,8.697126,6.0381923,299,Preparation Complexity vs not Preparation Complexity,1130
90,D601BBE3-B482-4A39-8F1F-ED365CCA9749,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Ingredient Simplicity,not Ingredient Simplicity,0,8.697126,6.0381923,299,Ingredient Simplicity vs not Ingredient Simplicity,1130
91,D601BBE3-B482-4A39-8F1F-ED365CCA9749,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Variety of Ingredients,not Variety of Ingredients,0,8.697126,6.0381923,299,Variety of Ingredients vs not Variety of Ingredients,1130
92,D601BBE3-B482-4A39-8F1F-ED365CCA9749,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Complexity of Preparation,not Complexity of Preparation,0,8.697126,6.0381923,299,Complexity of Preparation vs not Complexity of Preparation,1130
93,D601BBE3-B482-4A39-8F1F-ED365CCA9749,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Preparation Method,not Preparation Method,0,8.697126,6.0381923,299,Preparation Method vs not Preparation Method,1130
94,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,French fries,not French fries,0,8.699008,7.011035,131,French fries vs not French fries,1130
95,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Stewed beef with ugali,not Stewed beef with ugali,0,8.699008,7.011035,131,Stewed beef with ugali vs not Stewed beef with ugali,1130
96,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Roasted chicken,not Roasted chicken,0,8.699008,7.011035,131,Roasted chicken vs not Roasted chicken,1130
97,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Rice with stewed peas,not Rice with stewed peas,0,8.699008,7.011035,131,Rice with stewed peas vs not Rice with stewed peas,1130
98,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Rice with stewed beef,not Rice with stewed beef,0,8.699008,7.011035,131,Rice with stewed beef vs not Rice with stewed beef,1130
99,647C45CF-D2F2-4CC2-8B18-9C9E95D84DD5,a216d763-71dd-4509-a694-d68cb28de496,Praise,Fried chicken,not Fried chicken,0,8.699008,7.011035,131,Fried chicken vs not Fried chicken,1130
100,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Cookie,not Cookie,0,8.719553,6.7655115,102,Cookie vs not Cookie,1130
101,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Pizza,not Pizza,0,8.719553,6.7655115,102,Pizza vs not Pizza,1130
102,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Apple,not Apple,0,8.719553,6.7655115,102,Apple vs not Apple,1130
103,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Rice,not Rice,0,8.719553,6.7655115,102,Rice vs not Rice,1130
104,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Burger,not Burger,0,8.719553,6.7655115,102,Burger vs not Burger,1130
105,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Seasonal dishes,not Seasonal dishes,0,8.719553,6.7655115,102,Seasonal dishes vs not Seasonal dishes,1130
106,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Healthiness (Apple),not Healthiness (Apple),0,8.719553,6.7655115,102,Healthiness (Apple) vs not Healthiness (Apple),1130
107,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Cost (Rice),not Cost (Rice),0,8.719553,6.7655115,102,Cost (Rice) vs not Cost (Rice),1130
108,4F9A0294-9B21-4928-B1D0-DD9A970AB74B,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Shelf Life (Cookie),not Shelf Life (Cookie),0,8.719553,6.7655115,102,Shelf Life (Cookie) vs not Shelf Life (Cookie),1130
109,BB9B1884-4994-4CBC-8979-CBDB834B8AB5,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,Healthy vs. less healthy,not Healthy vs. less healthy,0,8.726308,6.2357464,255,Healthy vs. less healthy vs not Healthy vs. less healthy,1130
